okres,obec,cintorín,národnosť,dôvodÚmrtia,dátumÚmrtia,početHrobov,početPochovaných,GPS
Liptovský Mikuláš,Východná,obecný,"poľ.
",-,-,1,1,49.033764 19.909028
Liptovský Mikuláš,Závažná Poruba,spoločný obecný,"domáci
",-,-,1,1,49.026001 19.628504
Lučenec,Lučenec,obecný,"7 čs.
1 tal.
4 maď.
1 poľ.
2 rak.
1 rum.
1 juh.
3 neznámi
",-,-,20,20,48.33 19.663611
Lučenec,Lučenec,židovský,"6 čs.
1 litov.
8 maď.
2 poľ.
1 juh.
1 rus.
5 nez.
1 rum.
",-,-,25,25,48.33 19.663611
Lučenec,Lučenec,vojenský,-,-,-,1427,1427,48.33 19.663611
Lučenec,Lučenec,-,"čes.
","v boji proti nepriat.
","1919
",1,1,48.33 19.663611
Lučenec,Veľké Dravce,katolícky obecný,"2 domáci
1 maď.
","z toho 1 obesený čs.
vojskom
","1919
",3,3,48.343035 19.832495
Lučenec,Breznička,evanjelický,"domáci
",-,"1919
",1,1,48.415591 19.734405
Lučenec,Budiná,-,"domáci
",-,-,4,1,48.47029 19.441804
Lučenec,Dobroč,evanjelický obecný,"4 domáci
1 neznámy
","boľševik
","1919
",5,5,48.50469 19.550672
Lučenec,Dolná Bzová,obecný,"domáci
",-,-,1,1,48.901748 18.290941
Lučenec,Kalinovo,katolícky obecný,"1 domáci
1 čes.
","strelná rana
","1919
",2,2,48.404543 19.701134
Lučenec,Kalinovo,evanjelický,"2 domáci
1 juh.
",-,-,3,3,48.404543 19.701134
Lučenec,Kotmanová,evanjelický obecný,"domáci
",-,-,1,1,48.498584 19.587076
Lučenec,Lovinobaňa,evanjelický obecný,"domáci
",-,-,1,1,48.437128 19.60181
Lučenec,Málinec,obecný,"rum.
",-,-,1,1,48.539866 19.668789
Lučenec,Mašková,evanjelický obecný,"domáci
",-,-,1,1,48.321071 19.551164
Lučenec,Píla,obecný,"domáci
",-,-,1,1,48.489988 19.488728
Lučenec,Podkriváň,obecný,"3 domáci
6 neznámi
","legionári i boľševici
","1919
",9,9,48.519803 19.483435
Lučenec,Podrečany,obecný,"neznámy
","boľševik
zastrelený
","1919
",1,1,48.399606 19.595127
Lučenec,Rovňany,obecný,"domáci
",-,-,2,2,48.453061 19.7289
Lučenec,Stará Halič,katolícky obecný,"domáci
",-,-,4,4,48.3729 19.565017
Lučenec,Točnica,evanjelický,"domáci
",-,-,1,1,48.407758 19.637345
Lučenec,Tomášovce,evanjelický obecný,"domáci
",-,-,1,1,48.371243 19.619738
Lučenec,Uhorské,evanjelický obecný,"slov.
",-,-,1,1,48.475216 19.75298
Lučenec,Biskupice,katolícky obecný,"1 slov.
1 čes.
","zastrelený v boji
","1919
",2,2,48.245487 19.829181
Lučenec,Dolné Kurťany,súkromný,"slov.
",-,-,1,1,48.1136 18.84929
Lučenec,Fiľakovo,katolícky obecný,"4 dom.
1 maď.
1 nem.
1 juh.
1 rum.
",-,"1919
",8,8,48.270164 19.822294
Lučenec,Fiľakovské Kováče,obecný,"domáci
","z toho 1 zastrelený
v bojoch pri Mučíne
","1919
",2,2,48.284453 19.775466
Lučenec,Halič,katolícky obecný,"4 domáci
1 maď.
",-,-,5,5,48.325084 19.593578
Lučenec,Kalonda,katolícky obecný,"1 čs.
",-,-,1,1,48.255938 19.657354
Lučenec,Mikušovce,obecný,"1 neznámy
","zastrelený
boľševikmi
","1919
",1,1,49.071229 18.196494
Lučenec,Pinciná,obecný,-,"v bojoch pri obci
","1919
",1,1,48.364731 19.759338
Lučenec,Prša,katolícky obecný,"1 domáci
1 maď.
1 rus.
","zastrelený v boji pri obci
","1919
",3,3,48.300855 19.790603
Lučenec,Rapovce,katolícky obecný,"1 čes.
6 maď.
1 juh.
2 neznámi
","padli v boji padol v boji padli v boji
","1919
1919
1919
",1,1,48.270382 19.683633
Lučenec,Šavol,katolícky obecný,"1 slov.
4 neznámi
","boľševici padli v boji
","1919
",1,1,48.309775 19.838548
Lučenec,Trenč,obecný,"1 domáci
1 čes.
","samovražda
","1919
",2,2,48.236837 19.569953
Malacky,Borský Sv. Jur,katolícky obecný,"domáci
",-,-,2,2,48.598198 17.074889
Malacky,Borský Sv. Mikuláš,katolícky obecný,"domáci
",-,-,1,1,48.62156 17.20981
Malacky,Gajary,katolícky obecný,"6 dom.
1 tal.
",-,-,7,7,48.461616 16.916739
Malacky,Jablonové,obecný,"1 čes.
1 juh.
","zastrelený
","17/11/1918
",2,2,48.34944 17.092848
Malacky,Jakubov,katolícky obecný,"domáci
",-,-,1,1,48.4048 16.932004
Malacky,Kuklov,katolícky obecný,"domáci
",-,-,1,1,48.625986 17.086711
Malacky,Láb,obecný,"2 dom.
1 rus
",-,-,3,3,48.36159 16.9621
Malacky,Lozorno,obecný,"domáci
",-,-,6,6,48.321124 17.070269
Malacky,Malacky,katolícky obecný,"3 domáci
1 čes.
",-,-,4,4,48.436389 17.018333
Malacky,Malé Leváre,katolícky obecný,"domáci
",-,-,2,2,48.50297 16.951771
Malacky,Moravský Sv. Ján,katolícky obecný,"domáci
",-,-,3,3,48.58684 16.99554
Malacky,Pernek,obecný,"čes.
","padol
","5/9/1919
",1,1,48.36227 17.159515
Malacky,Plavecké Podhradie,katolícky obecný,"domáci
",-,-,1,1,48.478731 17.279178
Malacky,Sekule,katolícky obecný,"domáci
",-,-,1,1,48.60795 16.986918
Malacky,Uhorská Ves,obecný,"9 domáci
3 rus.
","1 sa utopil
","1916
",12,12,49.02507 19.696564
Malacky,Veľké Leváre,obecný,"domáci
","1 na nachladnutie
","1919
",4,4,48.504057 17.010522
Malacky,Veľké Leváre,židovský,"domáci
",-,-,1,1,48.504057 17.010522
Malacky,Závod,katolícky obecný,"domáci
",-,-,3,3,48.54618 17.044795
Michalovce,Oborín,obecný,"čes.
","z toho 2 v bojoch pri
obci
1 samovražda
","1919
",3,3,48.509334 21.854758
Michalovce,Kopčany,gréckokatolícky obecný,"domáci
",-,-,1,1,48.780369 17.10632
Michalovce,Bánovce nad Ondavou,obecný,"neznámy
",-,-,1,1,48.670206 21.805022
Michalovce,Kucany,katolícky obecný,"neznámi
","zastrelení
","1919
",1,5,48.869431 21.752584
Michalovce,Lastomír,obecný,"1 domáci
1 čes.
3 maď.
","padol
padli v boji
","1919
1919
",2,2,48.701225 21.919681
Michalovce,Ložín,nový obecný,"čs.
",-,-,1,1,48.660573 21.826071
Michalovce,Michalovce,obecný,"42 čs.
22 rum.
20 juh.
1 rus.
85 neznámi
9 tal.
38 maď.
31 poľ.
16 rak.
",-,-,199,199,48.756111 21.914722
Michalovce,Michalovce,židovský,"1 domáci
1 poľ.
3 neznámi
",-,-,3,3,48.756111 21.914722
Michalovce,Pozdišovce,obecný,"domáci
",-,-,1,1,48.73895 21.841438
Michalovce,Rakovec nad Ondavou,obecný,"poľ.
",-,-,1,1,48.769243 21.788193
Michalovce,Strážske,vojenský obecný,"neznámi
",-,-,19,41,48.87466 21.833769
Michalovce,Šamudovce,obecný,"domáci
","zabitý granátom
","1919
",1,1,48.70759 21.881218
Michalovce,Veľké Zálužice,obecný,"3 čes.
","padli v boji pri obci
","1919
",3,3,48.533348 18.40481
Medzila borce,Krásny Brod I,vojenský súkromný,"neznámi
","padli
","1914
",49,49,49.24152 21.89825
Medzila borce,Krásny Brod III,vojenský súkromný,"neznámi
","padli
","1915
",1,692,48.597765 18.315192
Medzila borce,Malé Staškovce,súkromný,"neznámi rus.
a maď.
","padli v boji pri obci
","1915
",13,13,48.701801 18.136487
Medzila borce,Sukov,vojenský,"neznámi
",-,-,60,60,49.224938 21.869041
Medzila borce,Nižná Olka,gréckokatolícky,"neznámi
","niektorí padli
v bojoch pri obci
","1915
",3,3,48.532355 21.112208
Medzila borce,Nižná Vladiča,obecný,"neznámi rak uh. a rus.
",-,-,5,12,48.945933 19.764634
Medzila borce,Palota,vojenský civilný,"1 čs.
1 maď.
149 neznámi
",-,"1914
1914
",22,151,49.269479 21.998367
Medzila borce,Repejov,gréckokatolícky obecný,"7 maď.
1 rak. 
2 juh.
2 rum.
885 neznámi
","niektorí majú uvedené
že zomreli v Repejove
","1915
",21,899,49.203114 21.821914
Medzila borce,Rokytovce,obecný,"65 neznámi
12 rak.
10 rus.
","padli v bojoch pri
obci
",-,2,90,49.271699 21.868532
Medzila borce,Roškovce,rusínsky obecný,"64 71 nezn.
",-,-,13,71,49.244476 21.852503
Medzila borce,Ruská Kajna,obecný,"neznámi
z rakuh. vojska
",-,-,1,2,49.125534 21.825596
Medzila borce,Ruská Poruba,gréckokatolícky,"nezn. národ.
","padli v bojoch pri obci
","1915
",12,12,49.142335 21.793975
Medzila borce,Sterkovce,vojenský,-,"padli v bojoch
","1915
",1,418,48.61789 18.88917
Medzila borce,Sterkovce,vojenský,-,"padli v bojoch
","1915
",1,628,48.61789 18.88917
Medzila borce,Sterkovce,vojenský,-,"padli v bojoch
","1915
",1,2688,48.61789 18.88917
Medzila borce,Medzilaborce II,vojenský,"nezn. národ.
",-,"1914
",92,92,49.27169 21.90242
Medzila borce,Medzilaborce III,vojenský súkromný,-,-,"1914
",33,33,49.27169 21.90242
Medzila borce,Medzilaborce IV,vojenský súkromný,"33 neznámi
","padli v bojoch
","1915
",4,35,49.27169 21.90242
Medzila borce,Medzilaborce V,gréckokatolícky,"30 neznámi
",-,"1914
",12,35,49.27169 21.90242
Medzila borce,Vyšná Olka (Stropková Olka),obecný,"neznámi
",-,"1914
",20,20,47.81012 17.86388
Medzila borce,Výprava,vojenský,"neznámi
",-,"1914
",6,638,49.19166 22.00563
Medzila borce,Zbudská Belá I,vojenský,"3 maď.
1 rak.
17 nrm.
3 neznámi
",-,"1914
",24,24,49.15088 21.94174
Medzila borce,Zbudská Belá II,vojenský,"11 rus.
53 rak.
12 neznámi
",-,-,19,76,49.15088 21.94174
Medzila borce,Zbudská Belá III,vojenský,"205 rus.
216 rak.
12 neznámi
","padli
","1915
",1,1,49.15088 21.94174
Medzila borce,Zbudská Belá IV,vojenský,"rak.
rus.
","padli
","1915
",5,37,49.07503 21.96139
Medzila borce,Medzilaborce I,vojenský,"rak.
nem.
rus.
",-,"1914
",13,13,49.27169 21.90242
Medzila borce,Vyšná Vladiča,obecný,"neznámi
",-,-,1,8,49.301646 21.779261
Medzila borce,Bystrá,civilný obecný,"neznámi
z toho 4 maď.
","padli v Bystrej
","1915
",9,9,48.88714 19.617865
Medzila borce,Výprava,súkromný,"neznámi
",-,-,5,420,49.19166 22.00563
Medzila borce,Varichovce,obecný,"neznámi
",-,-,2,15,49.22454 21.80592
Medzila borce,Veľká Driečna,gréckokatolícky obecný,"neznámi
",-,-,6,6,49.135686 19.302267
Medzila borce,Vydraň,vojenský,"neznámi
",-,-,24,205,49.108127 19.67792
Medzila borce,Vydraň,židovský,"neznámi
",-,"1915
",11,11,49.108127 19.67792
Medzila borce,Čertižné,vojenský,"neznámi rak.
rus. vojaci
",-,-,20,20,49.361266 21.822946
Medzila borce,Čertižné I,obecný,"neznámi rak. rus. vojaci
",-,-,17,83,49.34944 21.82637
Medzila borce,Čertižné  Habura,obecný,"1 maď.
neznámi
",-,-,12,81,48.371704 18.505088
Medzila borce,Čertižné,-,"neznámi rak.
rus. vojaci
",-,-,9,50,49.361266 21.822946
Medzila borce,Havaj,vojenský obecný,"neznámi
",-,-,9,68,49.257532 21.794995
Medzila borce,Kalinov,vojenský,"neznámi
",-,-,16,264,49.330601 21.930451
Medzila borce,Malá Polana,obecný,"neznámi
",-,"1914
",2,37,49.278112 21.825621
Medzila borce,Vyšné Zbojné,obecný,"neznámi
",-,"1915
",23,100,49.11851 20.1246
Medzila borce,Závada,obecný,"nezn. honv.
",-,-,19,19,48.635225 18.068504
Medzila borce,Pravrovce,starý gréckokatolícky,"neznámi
","padli
","1915
",1,46,48.406474 19.805787
Medzila borce,Sterkovce,vojenský,"neznámi voj. rakuh. armády
nemci
rusi
",-,-,1,2600,48.61789 18.88917
Medzila borce,Bystrá,civilný,"maď.
",-,"1915
",9,9,48.88714 19.617865
Modra,Častá,obecný,"2 domáci
1 rum.
",-,-,3,3,48.405217 17.324833
Modra,Čataj,obecný,"domáci
",-,-,1,1,48.266097 17.477129
Modra,Dlhá,obecný,"domáci
",-,-,1,1,48.410699 17.423663
Modra,Dubová,obecný,"domáci
",-,-,2,2,48.374716 17.321019
Modra,Modra,obecný,"domáci
",-,-,3,3,48.936782 22.050486
Modra,Pezinok,obecný,"domáci a čes
",-,-,12,12,48.318241 17.226348
Modra,Budmerice,obecný,"domáci
",-,-,8,8,48.360811 17.409234
Modra,Štefanová,obecný,"domáci
",-,-,1,1,48.386948 17.405431
Modra,Švajnsbach Viničné,obecný,"čs. zo Senca
",-,-,1,1,48.269892 17.302281
Modra,Veľké Šenkvice,obecný,"2 dom.
1 nez
",-,-,3,3,48.533348 18.40481
Modra,Vištuk,obecný,"domáci
",-,-,2,2,48.327507 17.395377
Modrý Kameň,Čebovce,obecný,"čs.
",-,-,2,2,48.205653 19.220232
Modrý Kameň,Dolná Strehová,katolícky,"1 domáci
3 neznámy
",-,"1919
",2,2,48.248557 19.488915
Modrý Kameň,Dolné Plachtince,katolícky obecný,"domáci
",-,-,1,1,48.203409 19.314687
Modrý Kameň,Horná Strehová,evanjelický obecný,"domáci
",-,-,1,1,48.281497 19.43535
Modrý Kameň,Horné Plachtince,evanjelický obecný,"domáci
",-,-,2,2,48.251333 19.254428
Modrý Kameň,Horná Strehová,katolícky,"domáci
",-,-,1,1,48.281497 19.43535
Modrý Kameň,Horné Plachtince,evanjelický obecný,"domáci
",-,-,2,2,48.251333 19.254428
Modrý Kameň,Horný Tisovník,obecný,"neznámy
","zastrelený
","1919
",1,1,48.424569 19.362404
Modrý Kameň,Horný Tisovník,evanjelický obecný,"domáci
",-,-,1,1,48.424569 19.362404
Modrý Kameň,Chrťany,evanjelický obecný,"domáci
",-,-,1,1,48.295432 19.455903
Modrý Kameň,Nová Ves,katolícky obecný,"domáci
",-,-,1,1,48.17308 19.375206
Modrý Kameň,Senné,evanjelický obecný,"domáci
",-,-,1,1,48.311105 19.38901
Modrý Kameň,Stará Huta,katolícky obecný,"domáci
",-,-,1,1,48.471476 19.348305
Modrý Kameň,Suché Brezovo,obecný,"domáci
",-,-,2,2,48.305219 19.358596
Modrý Kameň,Žihlava,obecný,"slov.
",-,-,1,1,47.961388 18.702378
Modrý Kameň,Balog,obecný,"neznámi
",-,-,2,2,48.0771 19.12986
Modrý Kameň,Bušince,obecný,"4 dom.
1 maď
2 nez
",-,"1919
1919
",5,1,48.183947 19.491845
Modrý Kameň,Kosihovce,obecný,"1 dom.
1 juh.
1 rus.
",-,-,3,3,48.198972 19.202575
Modrý Kameň,Kosihovce nad Ipľom,katolícky obecný,"4 čs. nezn.
","zastrelení
",-,1,35,48.748365 17.887943
Modrý Kameň,Kováčovce,obecný,"1 čes.
1 tal.
","zastrelený
",-,2,2,48.106568 19.460879
Modrý Kameň,Lesenice,obecný,"domáci
",-,-,1,1,48.112988 19.240109
Modrý Kameň,Malá Čalomija,evanjelický obecný,"domáci
",-,-,1,1,48.084176 19.233966
Modrý Kameň,Olováry,obecný,"domáci
",-,-,1,1,48.153381 19.405833
Modrý Kameň,Selany,obecný,"domáci
",-,-,1,1,48.157125 19.196224
Modrý Kameň,Veľká Čalomija,obecný,"3 čes.
",-,-,1,3,48.082551 19.203586
Modrý Kameň,Veľká Čalomija,katolícky obecný,"2 čes.
4 neznámi
",-,"1919
",1,6,48.082551 19.203586
Modrý Kameň,Vrbovka,obecný,"8 domáci
1 neznámy
","na zranenie v boji
","1919
",9,9,48.098863 19.386677
Modrý Kameň,Želovce,obecný,"čes.
","padol v boji
","1919
",1,1,48.125082 19.377427
Moldava,Jasov,obecný,"3 čes.
4 neznámi
","padli v boji pri obci
","1919
",2,1,48.71264 20.93943
Moldava,Nižný Medzev,veľký obecný,"16 čs.
10 neznámi
",-,"1919
1919
",26,26,48.700326 20.892266
Moldava,Poproč,obecný,"1 dom.
1čes.
3 neznámi
",-,"1919
",1,1,48.586071 20.030492
Moldava,Rudník,katolícky obecný,"2 čes.
7 neznámi
","padli v boji
",-,9,9,48.756525 17.622211
Moldava,Štos,obecný,"1 čes.
1 nem.
3 neznámi
",-,"1919
",5,5,48.708308 20.794759
Moldava,Vyšný Medzev,obecný,"2 dom.
1slov.
5 nez.
",-,"1919
",3,1,48.736371 20.902479
Moldava,Zlatá Idka,obecný,"domáci
",-,-,3,3,48.752821 21.019139
Moldava,Buzita,obecný,"domáci
","12 padli v boji
","1919
",13,13,48.526683 21.0794
Moldava,Gestice,katolícky obecný,"5 domáci
1 neznámy
","padol v boji
","1919
",6,6,48.21901 20.05324
Moldava,Čečejovce,katolícky obecný,"2 dom.
1 čes.
",-,-,3,3,48.594388 21.063126
Moldava,Debraď,obecný,"domáci
",-,-,6,6,48.651184 20.977633
Moldava,Komárovce,gréckokatolícky obecný,"1 čs. dom.
1 maď.
","zastrelený
","1919
",2,2,48.571075 21.111852
Moldava,Mokrance,katolícky obecný,"domáci
",-,-,5,5,48.60509 21.022032
Moldava,Moldava nad Bodvou,evanjelický obecný,"4 domáci
1 rum.
",-,-,5,5,48.614142 20.997331
Moldava,Moldava nad Bodvou,obecný,"1 maď.
1 neznámy
","padol
","1919
",2,2,48.614142 20.997331
Moldava,Perin,katolícky obecný,"5 domáci
1 maď.
","zastrelení v boji
","1919
",3,3,48.53523 21.18748
Moldava,Turňá nad Bodvou,obecný,"nem. a čes.
vojaci
","padli v bojoch
","1919
",1,13,48.622234 20.903712
Moldava,Turňá nad Bodvou,katolícky nový obecný,"maď.
","padol v boji
",-,1,1,48.622234 20.903712
Moldava,Turňá nad Bodvou,katolícky starý obecný,"1 čs
","padol
","1919
",1,10,48.622234 20.903712
Moldava,Turňá nad Bodvou,židovský,"neznámi
židia
","padli
","1919
",1,3,48.622234 20.903712
Moldava,Vyšný Lánc,evanjelický,"domáci
",-,-,1,1,48.93954 21.68078
Myjava,Brezová pod Bradlom,obecný,"domáci
",-,-,4,4,48.661644 17.53703
Myjava,Brezová pod Bradlomosada Košariská,obecný,"5 domáci
3 tal.
","1 zhorel v lietadle
","1919
",4,4,48.66511 17.54019
Myjava,Bukovce,obecný,"domáci
",-,-,2,2,49.265836 21.712383
Myjava,Hrachovište,katolícky obecný,"domáci
",-,-,3,3,48.710056 17.721791
Myjava,Myjava,katolícky,"2 čs.
1 rum.
",-,-,1,1,48.750556 17.565278
Myjava,Myjava,horný starý evanjelický,"1 domáci
1 juh.
",-,-,2,2,48.750556 17.565278
Myjava,Myjava,dolný nový evanjelický,"7 domáci
1 juh.
",-,-,8,8,48.750556 17.565278
Myjava,Myjava,dolný starý evanjelický,"domáci
",-,-,1,1,48.750556 17.565278
Myjava,Podkýlava,obecný,"domáci
",-,-,2,2,48.680759 17.651967
Námestovo,Breza,obecný,"tal.
",-,-,1,1,49.398445 19.368831
Námestovo,Lomná,spoločný obecný,"domáci
",-,-,1,1,49.346604 19.290146
Námestovo,Mutné,obecný,"domáci
",-,-,1,1,49.482852 19.284922
Námestovo,Novoť,katolícky obecný,"domáci
",-,-,2,2,49.445269 19.242155
Námestovo,Rabča,katolícky,"domáci
",-,-,1,1,49.488189 19.468137
Námestovo,Zakamenné,katolícky obecný,"rum.
",-,-,2,2,49.400063 19.231238
Nová Baňa,Brehy,obecný,"neznámy čs. vojak
","zastrelený za zradu
",-,1,1,48.399207 18.663673
Nová Baňa,Dolná Ždaňa,obecný,"domáci
",-,-,2,2,48.548771 18.74019
Nová Baňa,Hliník nad Hronom,obecný,"domáci
",-,-,2,2,48.536272 18.782036
Nová Baňa,Nová Baňa,katolícky obecný,"domáci
neznámy
",-,"1919
",8,8,48.424599 18.641365
Nová Baňa,Nová Baňa,židovský,"domáci
",-,-,1,1,48.424599 18.641365
Nová Baňa,Orovnica,obecný,"domáci
",-,-,1,1,48.388517 18.590618
Nová Baňa,Sklené Teplice,obecný,"slov.
",-,-,1,1,48.526983 18.875389
Nová Baňa,Svätý Beňadikt,obecný,"3 domáci
1 rus.
","z toho 1 na bojisku
pri Šahách
","1919
",4,4,48.58684 16.99554
Nová Baňa,Tekovská Breznica,obecný,"1 čes.
1 neznámy
","padol pri vpáde boľ.
","1919
",2,2,48.374281 18.641859
Nová Baňa,Vyhne,evanjelický súkromný,"domáci
",-,-,1,1,48.50028 18.792479
Nová Baňa,Žarnovica,obecný,"slov.
","padol v boji pri Žarn.
","1919
",1,1,48.488333 18.707778
Nové Mesto nad Váhom,Beckov,evanjelický,"domáci
",-,-,1,1,48.785037 17.919727
Nové Mesto n/ V.,Čachtice,katolícky obecný,"domáci
",-,-,4,4,48.720929 17.784514
Nové Mesto n/ V.,Dolné Bzince,katolícky obecný,"domáci
",-,-,1,1,48.901748 18.290941
Nové Mesto n/ V.,Dolné Sŕnie,evanjelický,"domáci
",-,-,1,1,48.797828 17.820371
Nové Mesto n/ V.,Horné Bzince,evanjelický obecný,"domáci
",-,-,5,5,48.674724 18.905371
Nové Mesto n/ V.,Kálnica,katolícky obecný,"slov.
",-,-,1,1,48.208965 18.52012
Nové Mesto n/ V.,Kočovce,obecný,"1 domáci
1 tal.
",-,-,2,2,48.748365 17.887943
Nové Mesto n/ V.,Lubina,evanjelický obecný,"1 slov.
6 domáci.
",-,-,7,7,48.814974 17.703821
Nové Mesto n/ V.,Moravské Lieskové,obecný,"rus.
",-,-,1,1,48.840439 17.776158
Nové Mesto n/ V.,Mošovce nad Váhom,evanjelický obecný,"ríšsky nem.
",-,-,1,1,48.716149 18.318183
Nové Mesto n/ V.,Nové Mesto nad Váhom,katolícky obecný,"domáci
",-,-,3,3,48.763325 17.830386
Nové Mesto n/ V.,Nové Mesto nad Váhom,katolícky obecný,"čs.
","1 zomrel následkom
zranenia v boji
","1919
",11,11,48.763325 17.830386
Nové Mesto n/ V.,Nové Mesto nad Váhom,evanjelický obecný,"domáci
",-,-,1,1,48.763325 17.830386
Nové Mesto n/ V.,Nové Mesto nad Váhom,židovský,"3 domáci
1 maď.
",-,-,4,4,48.763325 17.830386
Nové Mesto n/ V.,Popudiny,obecný,"domáci
",-,-,2,2,48.793354 17.218583
Nové Mesto n/ V.,Podolie,katolícky,"4 domáci
1 juh.
",-,-,5,5,48.668207 17.77009
Nové Mesto n/ V.,Potvorice,katolícky,"3 domáci
1 rak.
",-,-,4,4,48.690255 17.853563
Nové Mesto n/ V.,Stará Turá,katolícky obecný,"domáci
",-,-,2,2,48.779248 17.694118
Nové Mesto n/ V.,Stará Turá,evanjelický obecný,"domáci
",-,-,4,4,48.779248 17.694118
Nové Mesto n/ V.,Vieska,obecný,"čs.
",-,-,2,2,48.256929 19.465725
Nové Zámky,Komjatice,katolícky,"1 domáci
1 tal.
",-,-,2,2,48.148685 18.163457
N. Zámky,Malý Várad,katolícky,"1 čes.
2 dom.
2 maď.
2 neznámi
","padol v boji pri obci
padli v boji pri obci padli v boji pri obci
","6/1919
6/1919
6/1919
",3,3,48.18968 19.3536
N. Zámky,Ondrohov,-,"juh.
",-,-,1,1,48.12485 18.18224
N. Zámky,Nové Zámky,evanjelický,"70 čs.
20 juh.
4 tal.
7 poľ.
20 maď.
1 lot.
3 rak.
18 nem.
6 rum.
18 rus.
36 neznámi
","19 čs. padlo v bojoch
","6/1919
",143,203,47.986184 18.163142
N. Zámky,Nové Zámky,židovský,"4 dom.
2 slov.
2 maď.
",-,-,10,10,47.986184 18.163142
N. Zámky,Slovenský Meder,katolícky obecný,"12 čs.
1 rus.
1 maď.
1 juh
1 rum.
","z toho 4 padli
","6/1919
",14,14,48.25602 17.27797
N. Zámky,Šurany,katolícky obecný,"5 čs.
2 maď.
","z toho 3 česi padli
","6/1919
",3,3,48.086106 18.186834
N. Zámky,Šurany,židovský,"1 dom.
2 rus.
",-,-,3,3,48.086106 18.186834
N. Zámky,Veľký Kýr,katolícky obecný,"domáci
",-,-,1,1,48.176765 18.145734
Nitra,Ujlaček,evanjelický obecný,"domáci
",-,-,3,3,48.43683 17.986506
Nitra,Vozokany,obecný,"domáci
",-,-,1,1,48.095666 17.706797
Nitra,Zbehy,obecný,"domáci
",-,-,1,1,48.361332 18.00927
Nitra,Nitra,katolícky obecný,"47 čs.
4 juh.
3 tal.
7 poľ.
4 maď.
2 rak.
7 rus.
4 rum.
1 nez.
","13 čs. padlo v bojoch
","6/1919
",65,65,48.31 18.085833
Nitra,Nitra,-,"138 čs.
8 tal.
3 tur.
56 maď.
2 nem.
31 poľ.
18 rak.
33 rum.
77 rus.
52 juh.
9 nez.
",-,-,423,427,48.31 18.085833
Nitra,Nitra,židovský,"9 čs.
2 rus.
1 maď.
3 poľ.
1 rum.
",-,-,16,16,48.31 18.085833
Nitra,Nitra,mestský,"26 čs.
4 nez.
2 tal.
5 poľ.
3 maď.
2 rum.
23 rus.
11 juh.
",-,-,76,76,48.31 18.085833
Nitra,Nitra,mestský obecný,"57 čs.
1 nez.
4 tal.
25 tur.
19 maď.
4 nem.
16 poľ.
9 rak.
13 rum.
1 rus.
9 juh.
",-,-,158,158,48.31 18.085833
Nitra,CabajČápor,katolícky,"domáci
",-,-,2,2,48.231659 18.014327
Parkan (Štúrovo),Bajtava,obecný,"čes.
",-,-,1,1,47.853045 18.742492
Štúrovo,Bart,katolícky obecný,"14 domáci
1 čes.
","na zranenie
","6/1919
",11,11,47.913741 18.574783
Štúrovo,Batorove Kesy,katolícky,"1 domáci
1 maď.
","padol v boji boľševik
","6/1919
6/1919
",2,2,47.837068 18.420387
Štúrovo,Batorove Kesy,-,"3 rus.
2 maď.
","padli
","6/1919
",3,3,47.837068 18.420387
Štúrovo,Belá,katolícky,"domáci
",-,-,2,2,49.231318 18.965674
Štúrovo,Bíňa,katolícky obecný,"2 domáci
","maď. národnosť
",-,4,4,47.92441 18.631413
Štúrovo,Búč,reformovaný,"domáci
","1 zastrelený na hone
","22/12/1918
",4,4,47.804142 18.471491
Štúrovo,Ďarmotky,miestny obecný,"domáci
",-,-,1,1,48.09162 19.28968
Štúrovo,Ebed,obecný,"domáci
",-,-,8,8,47.786235 18.649997
Štúrovo,Farnad,katolícky,"rusi
",-,-,2,2,48.012083 18.507917
Štúrovo,Farnad,evanjelický,"domáci
",-,-,2,2,48.012083 18.507917
Štúrovo,Helemba,miestny obecný,"1 čes.
1 maď.
1 neznámy
","zastrelený
zastrelený zastrelený
","5/1919
5/1919
5/1919
",3,3,47.836913 18.806014
Štúrovo,Keť,evanjelický,"domáci
",-,-,6,6,47.967111 18.58323
Štúrovo,Kicsind,katolícky,"čes.
",-,-,1,1,47.85375 18.687319
Štúrovo,Köbölkut,katolícky,"2 čes.
1 nez.
3 maď.
1 rum
",-,-,7,7,47.845695 18.506585
Štúrovo,Kuralany,obecný,"domáci
",-,-,1,1,47.985063 18.550932
Štúrovo,Libád,obecný,"domáci
",-,-,2,2,47.859159 18.595356
Štúrovo,Maďarský Seldín,katolícky,"3 čes.
3 maď.
1 neznámy
","padli
padli padol
","6/1919
6/1919
6/1919
",1,17,48.05448 17.14849
Štúrovo,Moča,obecný,"1 čes.
1 maď.
","padol
","6/1919
",2,2,47.77687 18.405962
Štúrovo,Mužľa,katolícky,"domáci
",-,-,5,5,47.796973 18.577198
Štúrovo,Máňa,obecný,"3 čs.
4 poľ.
",-,-,7,7,48.150961 18.292446
Štúrovo,Nemecký Seldín,katolícky obecný,"domáci
",-,-,3,3,48.65439 22.23805
Štúrovo,Nová Vieska,obecný,"1 slov.
1 rak.
13 neznámi
","zabitý granátom
zastrelený zastrelení pri obci
","1919
6/1919
6/1919
",3,15,47.867993 18.455298
